year,ticker,company_name,investment_attitude_score,expansion_score,contraction_score,china_investment_score,china_positive_score,china_negative_score,non_china_investment_score,non_china_raw_score,china_investment_density,non_china_investment_density,china_investment_density_normalized,non_china_investment_density_normalized,total_keywords_count,calculation_date
2003,AAL,AMR CORP,64.07943973409927,0.08460604020270678,0.02299391398756855,25.411562371112357,0.0,0.0001674185176996132,53.00115898518467,0.019273935997226654,0.0,15.17139270836524,0.0,100.0,110,2025-11-23T15:20:48.909674
2003,ABB,ABB LTD,65.93952996304053,0.14160581289726842,0.059956788948620075,88.51894694331787,0.0028632354634651755,3.052379957937198e-05,51.378716258435986,0.03489469183551514,1.1962493652230641,14.57887536338736,8.205361081742035,100.0,258,2025-11-23T15:20:48.912641
2003,ABT,ABBOTT LABORATORIES,67.03461758693321,0.11480939664170485,0.03681949868354145,21.988237344191543,1.526189978968599e-05,0.0001826804174892992,64.00329306964059,0.03605297198498446,0.008123225022801522,19.18938062826933,0.04233187709474366,100.0,173,2025-11-23T15:20:48.914049
2003,ACH,ALUMINUM CORP OF CHINA LTD,70.20909641664753,0.12885845062546822,0.03125501949557172,67.20105495332481,0.003312536286166577,0.0010493518623957434,45.8960973945551,0.023661220224042826,1.7607082551846165,12.57661869250794,13.999854000769648,100.0,177,2025-11-23T15:20:48.915440
2003,AEG,AEGON NV,71.29471527915894,0.14836908183436393,0.03976065062258944,84.40151878682461,0.003157839511317142,0.00011007068179367297,45.13214395157776,0.026837766463430165,1.446987686221449,12.297622301290637,11.766402079771042,100.0,207,2025-11-23T15:20:48.916855
2003,AEP,AMERICAN ELECTRIC POWER CO INC,64.60258776936782,0.11041058257632931,0.041659461046903226,17.70067052455613,0.0,0.00038931999121557143,55.36450253735883,0.029114427143769724,0.0,16.03448761071105,0.0,100.0,149,2025-11-23T15:20:48.918231
2003,AES,AES CORPORATION,67.75400718719033,0.1465054012494734,0.05490907439353589,12.318587863073581,1.526189978968599e-05,0.0008619125626065374,51.206844115339734,0.03435135290863788,0.006449334876082067,14.516107523127674,0.044428817200525106,100.0,275,2025-11-23T15:20:48.919632
2003,AET,AETNA INC PA,59.992534245412905,0.0639803278034294,0.021630841327906523,50.0,0.0,0.0,49.828501082362116,0.013951446152455292,0.0,14.01273557606038,0.0,100.0,55,2025-11-23T15:20:48.921068
2003,AFL,AFLAC INC,62.31166231662222,0.08161010933052244,0.026797690884621857,74.34992522760383,8.634972949290461e-05,0.0,48.5345636061569,0.016990914535829137,0.06881275406143551,13.54018860393712,0.508211193169249,100.0,76,2025-11-23T15:20:48.922510
2003,AIG,AMERICAN INTERNATIONAL GROUP INC,72.46287803889192,0.14700852590577748,0.032948873356640346,83.36073362904776,0.0014310934815760675,4.326518708076988e-05,44.48552687368874,0.02488482820329611,0.6936395669651217,12.061477241812366,5.750867435711341,100.0,188,2025-11-23T15:20:48.923957
